rank,run_name,rows,rows_passed,pass_rate,mean_input_score,mean_delta_editlens,delta_from_leader,mean_delta_editlens_passed,mean_output_score,mean_similarity,median_length_ratio,mean_length_gap,invalid_rate,pass_rate_from_leader,eval_split,max_eval_rows,sort_key
1,m4_eval,250,40,0.16,0.042276563038428625,0.0003484229327489932,0.0,-0.0007999540539458396,0.041928140105679634,0.8486262445896864,0.5980540495103601,0.3560099810200955,0.0,0.0,test,250,input_score_roberta
2,m7_eval,250,32,0.128,0.042276563038428625,-0.029084322011408707,-0.0294327449441577,-0.07357860882014695,0.07136088504983734,0.898132761478424,0.585088161738436,0.3800553532553416,0.0,-0.032,test,250,input_score_roberta
3,m3_eval,250,26,0.104,0.042276563038428625,-0.06519348890303324,-0.06554191183578223,-0.041857725791394323,0.10747005194146186,0.9628328394889831,0.5775592445567184,0.40975934552006466,0.0,-0.05600000000000001,test,250,input_score_roberta
4,m5_eval,250,24,0.096,0.042276563038428625,-0.0630797404802094,-0.06342816341295839,-0.0271508161725554,0.10535630351863802,0.9662863523960113,0.5775592445567184,0.41041118038809604,0.0,-0.064,test,250,input_score_roberta
5,m2_eval,250,23,0.092,0.042276563038428625,-0.06510171852059041,-0.0654501414533394,-0.03751613747200294,0.10737828155901905,0.960959770321846,0.5794841426503488,0.41284252078699946,0.0,-0.068,test,250,input_score_roberta
6,m1_eval,250,20,0.08,0.042276563038428625,-0.06514743949829911,-0.0654958624310481,-0.04047089409044323,0.10742400253672774,0.9639634232521057,0.5782781862745099,0.4127918033087963,0.0,-0.08,test,250,input_score_roberta
7,m6_eval,250,19,0.076,0.042276563038428625,-0.06464808373572305,-0.06499650666847204,-0.03802242659832956,0.10692464677415167,0.9618501968383789,0.5784313725490197,0.4126639295984994,0.0,-0.084,test,250,input_score_roberta
